PROGRAMAÇÃO II, 2N5 3N12345
FÍSICA II, 4N1234
MATEMÁTICA DISCRETA, 2N1234
AUTÔMATOS E LINGUAGENS FORMAIS, 6N1234
METODOLOGIA DA PESQUISA E DO TRABALHO CIENTÍFICO, 6N1234
TEORIA DA COMPUTAÇÃO, 6T2345
TEORIA E PARADIGMAS DE LINGUAGENS DE PROGRAMAÇÃO, 2T2345
ARQUITETURA DE COMPUTADORES, 4T12345 7T5
ENGENHARIA DE SOFTWARE II, 2N12345 4N5
BANCO DE DADOS II, 5N12345 6N5
SISTEMAS OPERACIONAIS, 7N1234
REDES DE COMPUTADORES I, 4N2345
SISTEMAS DISTRIBUIDOS, 3N1234
INTRODUÇÃO AO DIREITO, 4T1234
COMPUTADOR SOCIEDADE E ÉTICA, 3T1234
TÓPICOS EM ENGENHARIA DE SOFTWARE, 2T1234
TÓPICOS EM COMPUTAÇÃO MÓVEL E SEM FIO, 6N1234
CALCULO II, 6N12345 7N5
EQUACOES DIFERENCIAIS E ORDINARIAS, 4T5 5T12345
PROBABILIDADE E ESTATISTICA, 3T2345
